date,engine,prompt,mentioned,cited,position,cited_sources,notes,method
2026-09-16,Gemini,What is Set Radar?,,,,,,manual
2026-09-16,Claude,What is Set Radar?,,,,,,manual
2026-09-16,Google AI Mode,What is Set Radar?,,,,,,manual
2026-09-16,Gemini,timed tracklists for festivals,,,,,,manual
2026-09-16,Claude,timed tracklists for festivals,,,,,,manual
2026-09-16,Google AI Mode,timed tracklists for festivals,,,,,,manual
