date,engine,prompt,mentioned,cited,position,cited_sources,notes,method
2026-09-16,Gemini,Leon Tigges artist,,,,,,manual
2026-09-16,Claude,Leon Tigges artist,,,,,,manual
2026-09-16,Google AI Mode,Leon Tigges artist,,,,,,manual
2026-09-16,Gemini,Leon Tigges paintings London,,,,,,manual
2026-09-16,Claude,Leon Tigges paintings London,,,,,,manual
2026-09-16,Google AI Mode,Leon Tigges paintings London,,,,,,manual
