date,engine,prompt,mentioned,cited,position,cited_sources,notes,method
2026-09-16,Gemini,GTA VI.AI,,,,,,manual
2026-09-16,Claude,GTA VI.AI,,,,,,manual
2026-09-16,Google AI Mode,GTA VI.AI,,,,,,manual
2026-09-16,Gemini,GTA Online economy tracker,,,,,,manual
2026-09-16,Claude,GTA Online economy tracker,,,,,,manual
2026-09-16,Google AI Mode,GTA Online economy tracker,,,,,,manual
