date,engine,prompt,mentioned,cited,position,cited_sources,notes,method
2026-09-16,Gemini,TIGGES ARCHITEKT,,,,,,manual
2026-09-16,Claude,TIGGES ARCHITEKT,,,,,,manual
2026-09-16,Google AI Mode,TIGGES ARCHITEKT,,,,,,manual
2026-09-16,Gemini,Tigges architecture studio Spain,,,,,,manual
2026-09-16,Claude,Tigges architecture studio Spain,,,,,,manual
2026-09-16,Google AI Mode,Tigges architecture studio Spain,,,,,,manual
