date,engine,prompt,mentioned,cited,position,cited_sources,notes,method
2026-09-16,Gemini,What is TIGGES?,,,,,,manual
2026-09-16,Claude,What is TIGGES?,,,,,,manual
2026-09-16,Google AI Mode,What is TIGGES?,,,,,,manual
2026-09-16,Gemini,Who is DJ URBANT?,,,,,,manual
2026-09-16,Claude,Who is DJ URBANT?,,,,,,manual
2026-09-16,Google AI Mode,Who is DJ URBANT?,,,,,,manual
2026-09-16,Gemini,Tigges family art and architecture,,,,,,manual
2026-09-16,Claude,Tigges family art and architecture,,,,,,manual
2026-09-16,Google AI Mode,Tigges family art and architecture,,,,,,manual
